;ht_name;ht_desc;ht_price_old;hr_price_new;hr_raiting;ht_save
0;ადმირალი • THE ADMIRAL HOTEL;ბათუმში 2 სტუმარზე კომფორტ ნომერი ზღვის ხედით და საუზმით;306 ₾;230 ₾;0;76 ₾
1;სასტუმრო `სავანეთი` • SAVANETI;კახეთში 2 სტუმარზე გათვლილი ნომრები აივნით, საუზმით და გარე აუზით;240 ₾;180 ₾;5.0;60 ₾
2;სასტუმრო და ღვინის მარანი არგე • HOTEL & WINE CELLAR ARGE;2 ადგილიანი ნომრები საუზმით და აუზით კახეთის სასტუმრო კომპლექსში;220 ₾;160 ₾;0;60 ₾
3;შატო იყალთო • CHATEAU IKALTO;2 სტუმრიანი და საოჯახო ტიპის ნომრები საუზმით და აუზით კახეთის სასტუმრო კომპლექსში;200 ₾;130 ₾;5.0;70 ₾
4;კაპო ვერდე/ CAPO VERDE HOTEL BATUMI;ნომრები 2 სტუმარზე საუზმით და ღია აუზით პრემიუმ კლასის სასტუმროში;255 ₾;189 ₾;0;66 ₾
5;ვიქტორია ინნ / VICTORIA INN TBILISI;ნომრები 2 და 3 სტუმარზე თბილისის სასტუმროში;130 ₾;90 ₾;0;32 ₾
6;დიდველი რეზიდენსი / DIDVELI RESIDENCE;ორ ოთახიანი აპარტამენტი 4+1 სტუმარზე ბაკურიანში;100 ₾;70 ₾;0;23 ₾
7;კოლხიდა რეზორტი & სპა / KOLKHIDA RESORT & SPA;ურეკში 2,3 ან 4 სტუმარზე ნომრები ბაღის ხედით, სამჯერადი კვებით, აუზითა და იზოლირებული სანაპიროთი;280 ₾;205 ₾;0;75 ₾
8;ლეგენდ ბათუმი / LEGEND HOTEL BATUMI;ნომერი 2 სტუმარზე, საუზმე და ღია და დახურული საცურაო აუზით სარგებლობა ბათუმის 5* სასტუმროში!;315 ₾;248 ₾;5.0;47 ₾
9;სნოუ ველი / SNOW VALLEY BAKURIANI;დაისვენე ბაკურიანში მაღალი კლასის კოტეჯში (ამირანის პარკთან)! Snow Valley Bakuriani 5 პერსონაზე გელით;250 ₾;130 ₾;0;120 ₾
10;შატო ყვარელი / CHATEAU KVARELI;კახეთში ნომრები 2 სტუმარზე, ღვინის ტური;180 ₾;125 ₾;5.0;55 ₾
11;სანი დეის / SUNNY DAYS BORJOMI;აპარტამენტი 2 და 3 სტუმარზე ბორჯომის პარკთან;80 ₾;50 ₾;0;30 ₾
